事件名称,事件描述,埋点上报方,事件类型,需求优先级,研发进度状态,事件验收进度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
启动,用户打开游戏，初始化SDK,SDK客户端,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
账号登录,用户登入游戏，获取账号凭证,SDK客户端,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
创建角色,首次进入游戏获取角色ID成功,SDK客户端,核心,P0,无需接入,无需接入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
角色登录(进入游戏),每次进入游戏获取角色ID成功,SDK客户端,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
升级,游戏每次角色升级时,SDK客户端,核心,P0,无需接入,无需接入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
充值,客户端收到支付成功,SDK客户端,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前置埋点,游戏启动到进入游戏的过程打点：详情,研发客户端,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新手引导,进入游戏后在新手引导阶段的点位：详情,研发客户端,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户端自定义事件,详情见：客户端自定义事件,研发客户端,非核心,,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
账号登录,玩家账号登录时上报,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
角色登录事件,玩家角色登录游戏时上报,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
登出事件,玩家退出游戏/与服务器断开连接时上报,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
充值事件,玩家充值成功时上报,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
升级事件,账号/角色升级时上报,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在线人数,每隔5min，推送各区服实际在线角色/账号数,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资源产销,玩家在游戏内资源产出消耗时上报,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有效点位,有效点位（第2关通关）,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
激励视频,激励视频触发及播放结束时上报一条数据,研发服务器,核心,P0,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
服务器自定义事件,详情见：服务器自定义事件,研发服务器,非核心,,进行中,已完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
