事件ID,事件名称,上报来源,是否必须,事件说明,备注
111,SDK初始化 - Startup,SDK,是,游戏侧调用SDK初始化时，SDK自动上报,GSSdk.initialize()
114,SDK登录 - SDKLogin,SDK,是,SDK初始化后，主动发起平台登录成功，SDK自动上报,
102,账号登录 - GameLogin,SDK,是,游戏侧调用SDK登录时，SDK自动上报,GSSdk.platform.login()
104,角色登录 - EnterGame,SDK,是,游戏侧调用SDK进入游戏时，SDK自动上报,GSSdk.platform.enterGame()
105,角色升级 - LevelUp,SDK,是,游戏侧调用SDK角色升级时，SDK自动上报,GSSdk.platform.levelUp()
106,支付流程 - PayFlow,研发-前端/SDK,是,游戏侧&SDK支付流程中，按支付漏斗需求通过SDK分别上报,"GSSdk.analytics.track()，type = ""9"",""event"": ""106"""
107,前置事件 - PreEvent,研发-前端/SDK,是,游戏侧启动登录加载流程中，按自定义step通过SDK进行上报,"GSSdk.analytics.track()，type = ""1"""
108,新手引导 - TutorialStep,研发-前端/SDK,是,游戏侧新手引导流程中，按自定义step通过SDK将进行上报,"GSSdk.analytics.track()，type = ""2"""
110,激励视频 - AdVideo,研发-前端/SDK,是,参照【支付流程】，在激励视频业务中的流程通过SDK上报,"GSSdk.analytics.track()，type = ""9"",""event"": ""110"""
214,游戏账号登录 - GameLoginCustome,研发-后端,否,未使用GSSDK账号体系，登录时间上报,不发送
215,账号验签结果 - GameLoginSign,研发-后端,是,游戏侧调用SDK登录获得参数，服务端验签结果上报,
201,账号登录 - GameLogin,研发-后端,是,游戏侧通过SDK登录参数验签，完成游戏内账号登录上报,
203,角色登录 - RoleLogin,研发-后端,是,游戏侧账号登录成功后，完成账号下角色登录上报,
204,角色登出 - RoleLogout,研发-后端,是,游戏侧角色登出(登出标准自定义)时上报,
205,角色充值 - Pay,研发-后端,是,游戏侧完成角色支付发货流程时上报,
206,角色升级 - LevelUp,研发-后端,是,游戏侧角色升级时上报,
207,在线人数 - CCU,研发-后端,是,按整0/5分固定5min间隔上报,
208,资源产销 - Prop,研发-后端,是,游戏侧角色任意游戏资产变更时上报,
219,聊天日志 - ChatLog,研发-后端,否,玩家角色在游戏内聊天成功发送消息时上报,不发送，未来考虑接入平台社交组件
221,支付流程 - PayFlow,研发-后端,是,游戏侧在支付流程中，按支付漏斗需求上报,与前端【106:支付流程-PayFlow】为同一业务的后端事件
223,激励视频 - AdVideo,研发-后端,是,参照【支付流程】，在激励视频业务中的流程上报,与前端【110:激励视频-AdVideo】为同一业务的后端事件
> 10000,自定义事件,研发/SDK,否,,"GSSdk.analytics.track()，type = “0”,""event"": ""20xxx"""
20001,自定义事件：新手引导-Tutorial,研发-后端,,HYL:新手引导环节开始&完成，= Tutorial.id,对应原【10001：新手引导-Tutorial】
20002,自定义事件：玩家成长-PlayerGrow,研发-后端,,HYL:玩家成长日志，包括：玩家/商店/种植物等成长,对应原【10002：玩家成长-PlayerGrow】
20003,自定义事件：成长解锁-GrowUnlock,研发-后端,,HYL:玩家成长解锁内容，包括：功能/种植物/花艺配方等,对应原【10003：成长解锁-GrowUnlock】
20004,自定义事件：游戏货币-GameCurrency,研发-后端,,HYL:游戏货币变更日志，参照【资源产销-Prop】,对应原【10004：游戏货币-GameCurrency】
20005,自定义事件：资源存量-Inventory,研发-后端,,HYL:角色下线后异步上报(与Logout同时),对应原【10005：资源存量-Inventory】
20006,自定义事件：鲜花种植-Plant,研发-后端,,HYL:鲜花种植相关操作日志，培育/种植/浇水/收获等,¶¶¶¶¶ 原【10006：原料生产-Produce】
20007,自定义事件：花艺制作-FloralMake,研发-后端,,HYL:花艺制作相关操作日志，制作&收获等,¶¶¶¶¶ 原【10007：制作合成-Manufacture】
20008,自定义事件：花艺售卖-FloralSell,研发-后端,,HYL:花艺售卖相关操作日志，上架/结算/下架等,¶¶¶¶¶ 原【10024：自动贩卖-AutoSell】
20009,自定义事件：经营订单-OperateOrder,研发-后端,,HYL:经营订单相关操作日志，触发/交付/结算等,¶¶¶¶¶ 原【10008：经营订单-OperateOrder】
20010,自定义事件：场景事件-SceneEvent,研发-后端,,HYL:场景事件相关操作日志，触发/完成等,¶¶¶¶¶ 原【10009：游戏事件-GameEvent】
20011,自定义事件：剧情播放-GameStory,研发-前端/SDK,,HYL:剧情播放相关操作日志，跳过/自动/回看等,¶¶¶¶¶ 原【10013：剧情播放-GameStory】
